gene	transcript	shNS_R1	shNS_R2	shNS_R3	shRUNX1_R1	shRUNX1_R2	shRUNX1_R3
ZBTB33	NM_001184742,NM_006777	596.00	890.00	378.00	593.00	542.00	453.00
ANXA4	NM_001153	413.00	644.00	236.00	593.00	517.00	441.00
NBEA	NM_001204197,NM_015678	353.00	519.00	254.00	265.00	240.00	200.00
CDK5RAP3	NM_001278197,NM_001278198,NM_001278216,NM_001278217,NM_176096	2211.00	3888.00	1603.00	772.00	701.00	615.00
MIR548I1	NR_031687	0.00	0.00	0.00	0.00	0.00	0.00
MIR3619	NR_037413	0.00	0.00	0.00	0.00	0.00	0.00
LOC101928404	NR_110699	2.00	0.00	0.00	0.00	0.00	0.00
MIR3125	NR_036072	0.00	0.00	0.00	0.00	0.00	0.00
SNORD56	NR_002739	0.00	0.00	0.00	0.00	0.00	0.00
GOLGA6L9	NM_001291420,NM_001291420_chr15:82722987_82731586,NM_198181,NM_198181_chr15:82722184_82731586	148.81	231.61	145.89	102.45	74.85	79.49
TGIF2LX	NM_138960	0.00	0.00	0.00	0.00	0.00	0.00
HIGD1B	NM_001271880,NM_016438,NR_073504	0.00	0.00	0.00	2.00	4.03	1.00
AKNA	NM_030767	50.00	105.00	38.00	83.00	135.00	94.00
MIR487B	NR_030267	0.00	0.00	0.00	0.00	0.00	0.00
KCNK4	NM_033310	2.00	5.00	1.00	1.00	0.00	1.00
ENPP2	NM_001040092,NM_001130863,NM_006209,NR_045555	0.00	2.00	2.00	2.00	0.00	0.00
FAM73B	NM_032809	280.00	442.00	197.00	232.00	229.00	214.00
SNORD115-1	NR_001291	0.00	0.00	0.00	0.00	0.00	0.00
LOC101928052	NR_125888	0.00	0.00	0.00	0.00	0.00	0.00
ZNF738	NR_027130	29.79	49.98	16.92	46.95	86.74	73.94
UFC1	NM_016406	330.00	512.00	201.00	407.00	455.00	410.00
ZNF816-ZNF321P	NM_001202473	0.00	0.00	0.00	0.00	0.00	0.00
ZFAT-AS1	NR_002438	4.83	5.41	1.40	2.41	2.60	1.28
MIR6739	NR_106797	0.00	0.00	0.00	0.00	0.00	0.00
MIR4796	NR_039959	0.00	0.00	0.00	0.00	0.00	0.00
OR2A1-AS1	NR_126023,NR_126023_chr7:143892413_144009499	0.00	1.81	0.00	0.00	0.00	0.00
HDAC1	NM_004964	699.00	1217.00	522.00	810.00	968.00	893.00
LOC550113	NR_046116	0.00	0.00	0.00	0.00	0.00	0.00
CBWD2	NM_172003	278.20	374.10	173.79	252.14	230.26	183.19
SH3BP4	NM_014521	356.00	515.00	254.00	297.00	419.00	379.00
LINC01061	NR_037596	15.95	20.75	18.57	6.76	8.65	13.41
EPB41	NM_001166005,NM_001166006,NM_001166007,NM_004437,NM_203342,NM_203343	164.00	264.00	142.00	224.00	318.00	265.86
MIR4659A	NR_039803	0.00	0.00	0.00	0.00	0.00	0.00
ZNF860	NM_001137674	129.00	195.00	71.00	96.00	96.00	81.00
TESK2	NM_007170	227.00	341.00	166.00	213.00	115.00	96.00
ZBTB2	NM_020861	309.00	466.00	210.00	259.00	295.00	282.00
WSCD1	NM_015253	15.00	38.00	14.00	6.00	12.00	8.00
FRS2	NM_001042555,NM_001278351,NM_001278353,NM_001278354,NM_001278355,NM_001278356,NM_001278357,NM_006654	570.00	773.00	411.00	732.00	696.00	634.00
SNORD115-33	NR_003348	0.00	0.00	0.00	0.00	0.00	0.00
MIR4658	NR_039802	0.00	0.00	0.00	0.00	0.00	0.00
SNORD4B	NR_000009	0.00	0.00	0.00	0.00	0.00	0.00
LOC653160	NR_037869	7.00	6.00	7.00	2.00	3.00	2.00
CFC1	NM_001270420,NM_001270421,NM_032545	0.00	0.00	0.00	0.00	0.00	0.00
XRCC6P5	NR_024608	0.00	0.00	0.00	0.00	0.00	1.01
TMCC3	NM_001301036,NM_020698	8.00	19.00	9.00	47.00	30.00	25.00
WDR20	NM_001242414,NM_001242415,NM_001242416,NM_001242417,NM_001242418,NM_144574,NM_181291,NM_181308,NR_038354	472.00	593.00	297.00	376.00	394.00	313.00
HILPDA	NM_001098786,NM_013332	363.00	523.00	206.00	435.00	343.00	280.00
ENOX1-AS2	NR_120399	0.00	0.00	0.00	0.00	0.00	0.00
TRIM38	NM_006355	45.00	53.00	30.00	64.00	70.00	60.00
SLC20A2	NM_001257180,NM_001257181,NM_006749	224.00	278.38	153.00	197.00	265.03	227.85
LZTFL1	NM_001276378,NM_001276379,NM_020347,NR_075080	58.00	71.00	50.00	88.00	47.00	74.00
LRP1B	NM_018557	43.00	86.00	27.00	47.00	29.00	16.00
IFI44L	NM_006820	1.00	1.00	2.00	1.00	6.00	3.00
RELN	NM_005045,NM_173054	1.00	0.00	1.00	2.00	1.00	0.00
NME5	NM_003551	1.00	0.00	0.00	2.00	0.00	0.00
PLEKHM1	NM_014798,NR_027774,NR_027782	178.33	272.37	165.72	186.58	162.44	157.14
FERMT3	NM_031471,NM_178443	2.00	13.00	3.00	1.00	2.00	2.00
SCARNA21	NR_003000	107.00	168.00	58.00	98.00	34.00	41.00
FGF12-AS1	NR_046596	0.00	0.00	0.00	0.00	0.00	0.00
MIR3668	NR_037441	0.00	0.00	0.00	0.00	0.00	0.00
FANCI	NM_001113378,NM_018193	288.95	447.59	203.80	965.04	1319.52	1265.21
TMEM42	NM_144638	20.00	28.00	10.00	30.00	26.00	23.00
PGAP2	NM_001145438,NM_001256235,NM_001256236,NM_001256237,NM_001256238,NM_001256239,NM_001256240,NM_001283038,NM_001283039,NM_001283040,NM_014489,NR_027016,NR_027017,NR_027018,NR_045923,NR_045925,NR_045926,NR_045927,NR_045929,NR_104270,NR_104271,NR_104272	56.00	96.00	49.00	70.00	107.00	88.00
METTL25	NM_032230	130.54	189.12	85.63	173.56	92.61	95.74
MIR6815	NR_106873	0.00	0.00	0.00	0.00	0.00	0.00
SAPCD1-AS1	NR_126423	2.66	3.00	5.00	0.00	5.91	2.00
MIR5196	NR_049828	0.00	0.00	0.00	0.00	0.00	0.00
LOC400863	NM_001288961	2.00	0.00	0.00	0.00	1.00	1.00
METTL21EP	NR_026965	0.00	1.00	1.00	0.00	0.00	0.00
VDAC2	NM_001184783,NM_001184823,NM_003375,NR_033675	952.00	1378.00	597.00	760.00	845.00	832.00
MIR500A	NR_030224	0.00	0.00	0.00	0.00	0.00	0.00
PLGRKT	NM_018465	59.00	77.00	34.00	66.00	51.00	64.00
MIR624	NR_030354	0.00	0.00	0.00	0.00	0.00	0.00
BAALC-AS1	NR_109954	0.00	0.00	0.00	1.00	1.00	3.00
UBB	NM_001281716,NM_001281717,NM_001281718,NM_001281719,NM_001281720,NM_018955	3753.00	5436.00	2245.00	4506.00	4860.00	4507.00
ZNF141	NM_003441	76.00	117.07	62.00	95.00	86.07	89.00
SSFA2	NM_001130445,NM_001287503,NM_001287504,NM_001287505,NM_006751,NR_109843	1996.00	2821.00	1310.00	3292.00	3052.00	2811.00
TRIM60	NM_001258025,NM_152620	0.00	1.00	0.00	1.00	0.00	0.00
NANOG	NM_001297698,NM_024865	0.00	3.08	1.00	0.00	1.00	1.00
MYOM1	NM_003803,NM_019856	2.00	2.00	1.00	3.00	6.00	4.00
IKBIP	NM_153687,NM_201612,NM_201613	199.05	330.00	154.00	105.00	93.00	70.00
CHST14	NM_130468	56.00	115.00	54.00	71.00	99.00	98.00
LOC102723703	NR_120662	3.00	6.00	0.00	0.00	0.00	1.00
ABCC6P2	NR_023387	0.00	2.00	0.00	0.00	3.00	0.00
MIR647	NR_030377	0.00	0.00	0.00	0.00	0.00	0.00
PALM2-AKAP2	NM_007203,NM_147150	14.24	0.50	1.60	24.83	14.24	0.00
IL9R	NM_002186,NM_002186_chrY:59330251_59343488,NM_176786,NM_176786_chrY:59330251_59343488	2.00	0.00	4.00	3.00	0.00	2.00
MIR1910	NR_031731	0.00	0.00	0.00	0.00	0.00	0.00
KRTAP19-4	NM_181610	0.00	0.00	0.00	0.00	0.00	0.00
ZFP41	NM_001271156,NM_173832	126.00	203.00	108.00	123.00	150.00	151.00
LINC01305	NR_038897	1.00	0.00	0.00	1.00	0.00	0.00
TTC21A	NM_001105513,NM_145755	9.00	20.03	5.00	22.11	1.00	9.03
CENPL	NM_001127181,NM_001171182,NM_033319	90.00	117.00	63.00	157.00	228.00	207.00
HUS1B	NM_148959	0.00	1.00	1.00	0.00	2.00	1.00
TMEM123	NM_052932	590.00	892.00	414.00	660.00	557.00	535.00
SLC9A7	NM_001257291,NM_032591	773.00	1205.00	573.00	824.00	1028.00	934.00
SNORD67	NR_003056	0.00	0.00	0.00	0.00	0.00	0.00
SMPDL3B	NM_001009568,NM_014474	46.00	75.00	34.00	34.00	80.00	59.00
MYO1B	NM_001130158,NM_001161819,NM_012223	2343.00	3543.00	1504.00	1887.00	2205.00	1920.00
LOC102477328	NR_105007	0.00	0.00	0.00	0.00	0.00	0.00
LINC01393	NR_120521	0.00	0.00	0.00	0.00	0.00	0.00
SLC25A3P1	NR_002314	0.00	0.00	0.00	0.00	0.00	0.00
ADAMTS15	NM_139055	33.00	31.00	29.00	16.00	10.00	15.00
ELOVL2-AS1	NR_038962,NR_038963,NR_038964	9.00	16.00	2.00	18.00	11.00	9.00
MIR6752	NR_106810	0.00	0.00	0.00	0.00	0.00	0.00
KLK15	NM_001277081,NM_001277082,NM_017509,NR_102274	0.00	0.00	0.00	0.00	0.00	0.00
MIR4504	NR_039726	0.00	0.00	0.00	0.00	0.00	0.00
LINC00710	NR_015413,NR_024410,NR_024411	0.00	0.00	0.00	0.00	0.00	0.00
CCDC177	NM_001271507	1.00	0.00	0.00	0.00	2.00	0.00
JAK3	NM_000215	5.00	12.00	3.00	9.00	5.00	8.00
MIR578	NR_030304	0.00	0.00	0.00	0.00	0.00	0.00
SLCO1C1	NM_001145944,NM_001145945,NM_001145946,NM_017435	0.00	0.00	0.00	0.00	0.00	0.00
VPS37C	NM_017966	176.00	288.00	127.00	298.00	279.00	232.00
BLMH	NM_000386	78.00	103.00	37.00	119.00	160.00	140.00
GRN	NM_002087	2647.00	4337.00	1804.00	2242.00	1926.00	1782.00
LOC101926905	NR_105056	0.00	1.00	0.00	0.00	1.00	0.00
GNG12	NM_018841	298.00	478.00	230.00	511.00	534.00	489.00
ACAD10	NM_001136538,NM_025247	173.00	314.00	137.00	129.00	149.00	124.00
MIR6851	NR_106910	0.00	0.00	0.00	0.00	0.00	0.00
C1QTNF8	NM_207419	1.00	0.00	1.00	0.00	1.00	5.00
CLSTN2	NM_022131	535.00	883.00	374.00	558.00	287.00	268.00
CALCOCO1	NM_001143682,NM_020898,NR_026554	361.00	591.00	261.00	411.00	203.00	175.00
THY1	NM_006288	0.00	0.00	0.00	0.00	0.00	0.00
MS4A6E	NM_139249	0.00	0.00	0.00	0.00	0.00	0.00
DKFZP434K028	NR_026882	0.00	0.00	0.00	0.00	0.00	0.00
FAM109B	NM_001002034	4.00	1.00	2.00	10.00	14.00	9.00
LILRA1	NM_001278318,NM_001278319,NM_006863,NR_103501,NR_103502,NR_103503	0.00	0.00	0.00	0.00	0.00	0.00
ZNF233	NM_001207005,NM_181756	25.00	34.00	19.00	31.00	49.00	36.00
LARS2	NM_015340	107.00	160.00	63.00	105.00	230.00	194.00
MIR3918	NR_037482	0.00	0.00	0.00	0.00	0.00	0.00
MOSPD3	NM_001040097,NM_001040098,NM_001040099,NM_023948	43.00	59.00	27.00	44.00	56.00	40.00
TLR6	NM_006068	3.00	1.00	0.00	7.00	3.00	1.00
AVPR2	NM_000054,NM_001146151,NR_027419	1.00	1.00	0.00	0.00	0.00	1.00
LOC101928324	NR_125952,NR_125953	1.00	4.00	3.00	1.00	3.00	0.00
MIR4474	NR_039685	0.00	0.00	0.00	0.00	0.00	0.00
ACSL6	NM_001009185,NM_001205247,NM_001205248,NM_001205250,NM_001205251,NM_015256	2.00	5.01	0.00	0.00	0.00	0.00
LSAMP	NM_002338	9.00	12.00	4.00	7.00	3.00	5.00
TMEM185B	NM_024121	631.00	1077.00	473.00	511.00	597.00	544.00
ZNF782	NM_001001662	97.00	123.00	63.00	121.00	83.00	78.00
CXCR3	NM_001142797,NM_001504	0.00	1.00	1.00	1.00	0.00	2.00
OR7D2	NM_175883	0.00	1.00	0.00	0.00	0.00	0.00
PAPOLG	NM_022894	156.00	225.00	117.00	165.00	162.00	144.00
TMEM198	NM_001005209,NM_001303098	41.04	64.00	26.03	16.01	17.00	9.00
STOML1	NM_001256672,NM_001256673,NM_001256674,NM_001256675,NM_001256676,NM_001256677,NM_004809	64.00	71.00	36.00	56.00	54.00	62.00
SIAH1	NM_001006610,NM_003031	159.39	213.35	109.37	229.67	216.94	201.07
KRT13	NM_002274,NM_153490	86.00	152.00	60.00	69.00	67.00	41.00
NF1P2	NR_028506,NR_028506_chr15:22133180_22145802	0.00	0.00	0.00	0.00	0.00	0.00
KHSRP	NM_003685	315.00	457.00	239.00	504.00	884.00	848.00
OR10G9	NM_001001953	0.00	0.00	0.00	0.00	0.00	0.00
PPP5C	NM_001204284,NM_006247	269.00	459.00	197.00	355.00	546.00	482.00
IP6K3	NM_001142883,NM_054111	0.00	1.00	0.00	1.00	0.00	0.00
KIAA0100	NM_014680	3960.82	6450.35	2845.91	3208.75	4499.89	4026.57
HDHD1	NM_001135565,NM_001178135,NM_001178136,NM_012080	52.00	85.00	33.00	114.00	168.00	154.00
LOC102723617	NR_110750	0.00	0.00	0.00	0.00	0.00	0.00
C1orf122	NM_001142726,NM_198446	140.49	217.53	94.87	147.81	188.01	176.62
ZNF280B	NM_080764	0.00	1.00	0.00	2.00	1.00	2.00
GRP	NM_001012512,NM_001012513,NM_002091	0.00	0.00	0.00	0.00	0.00	0.00
SEC61A2	NM_001142627,NM_001142628,NM_018144,NR_024576,NR_024577	37.00	64.00	38.00	25.00	46.00	57.00
SDF2L1	NM_022044	121.00	196.00	104.00	77.00	107.00	102.00
ATG101	NM_001098673,NM_021934	411.00	660.00	265.00	326.00	394.00	341.00
SLC25A6	NM_001636,NM_001636_chrY:1455044_1461039	1299.00	1988.00	827.00	1863.00	2676.00	2524.00
CYB5R2	NM_001302826,NM_001302827,NM_016229,NR_126508	0.00	0.00	0.00	2.00	3.00	5.00
VAV3	NM_001079874,NM_006113	319.00	482.00	200.00	347.00	217.00	215.00
SRRM1	NM_001303448,NM_001303449,NM_005839	343.72	427.46	217.54	317.78	587.72	557.76
LINC00856	NR_038985	0.00	0.00	0.00	0.00	0.00	0.00
LOC101927356	NR_110076,NR_110077	0.00	0.00	0.00	0.00	0.00	0.00
LOC100507387	NR_038402	0.00	0.00	1.00	0.00	0.00	0.00
C11orf24	NM_001300913,NM_022338	128.00	179.00	101.00	86.00	164.00	167.00
KISS1R	NM_032551	1.00	1.00	0.00	0.00	1.00	0.00
PHLDA2	NM_003311	94.00	132.00	64.00	87.00	80.00	77.00
LYZ	NM_000239	1.04	5.09	2.00	7.01	4.04	1.02
C3orf79	NM_001101337	0.00	0.00	0.00	0.00	0.00	0.00
N4BP2L2-IT2	NR_026928	58.00	72.00	51.00	26.00	34.00	29.00
ELAC1	NM_018696	20.00	35.00	23.00	11.00	15.00	11.00
CLEC1B	NM_001099431,NM_016509	0.00	0.00	0.00	0.00	0.00	0.00
NCMAP	NM_001010980	0.00	0.00	0.00	5.00	0.00	2.00
COL11A2	NM_001163771,NM_080679,NM_080680,NM_080681	17.00	33.00	10.00	3.00	4.00	8.00
DTL	NM_001286229,NM_001286230,NM_016448	40.00	61.00	35.00	160.00	190.00	209.00
GPATCH2L	NM_017926,NM_017972,NR_110314	482.00	675.00	302.00	538.00	515.00	430.00
DNAH11	NM_001277115	52.20	76.69	41.66	12.23	15.73	16.51
LOC101926915	NR_125838	1.00	1.00	0.00	0.00	0.00	0.00
CSNK2A1	NM_001895,NM_177559,NM_177560	632.00	939.28	399.00	624.00	807.00	699.40
TRIM23	NM_001656,NM_033227,NM_033228	275.00	415.00	189.00	239.00	197.00	185.00
FAM25BP	NR_104039	2.00	0.00	1.00	0.00	0.00	1.00
ANXA2P3	NR_001446	0.00	0.00	0.00	0.00	0.00	0.00
FAM187B	NM_152481	0.00	0.00	0.00	0.00	0.00	0.00
LOC441081	NR_073404	129.73	216.26	138.61	111.09	201.85	197.32
C11orf98	NM_001286086,NR_104414	206.17	269.78	137.87	215.28	339.16	330.58
WDR70	NM_018034	192.87	256.00	126.98	180.98	212.32	171.30
ANGPTL7	NM_021146	4.00	1.00	0.00	6.00	7.00	3.00
NR2C2	NM_001291694,NM_003298	678.89	1044.57	462.67	788.40	815.06	676.35
MIR5701-1	NR_049886,NR_049886_chr15:22156765_22156847	0.00	0.00	0.00	0.00	0.00	0.00
CCDC83	NM_001286159,NM_173556	17.00	23.00	13.00	13.00	15.00	19.00
UMODL1-AS1	NR_027243	0.00	0.00	0.00	0.00	0.00	0.00
NACAD	NM_001146334	0.00	1.00	0.00	2.00	0.00	0.00
EVI5	NM_005665	178.00	266.00	120.00	196.00	148.00	136.00
KREMEN2	NM_001253725,NM_001253726,NM_024507,NM_172229	10.00	27.00	13.00	10.00	43.00	38.00
KCNJ16	NM_001270422,NM_001291622,NM_001291623,NM_001291624,NM_001291625,NM_018658,NM_170741,NM_170742	0.00	0.00	0.00	0.00	0.00	0.00
TAX1BP3	NM_001204698,NM_014604	470.12	707.26	308.27	443.22	588.96	534.35
NMD3	NM_015938	3024.00	4189.00	1924.00	5126.00	5114.00	4681.00
UPF3B	NM_023010,NM_080632	114.00	161.00	88.00	78.00	93.00	74.00
LYPD2	NM_205545	0.00	0.00	0.00	0.00	0.00	0.00
EIF4E3	NM_001134649,NM_001134650,NM_001134651,NM_001282886,NM_173359	126.00	178.00	68.00	189.00	157.00	169.00
SLC35B2	NM_001286509,NM_001286510,NM_001286511,NM_001286512,NM_001286513,NM_001286517,NM_001286519,NM_001286520,NM_178148	589.00	932.00	411.00	531.00	618.00	575.00
MIR2113	NR_031579	0.00	0.00	0.00	0.00	0.00	0.00
SNORD47	NR_002746	0.00	0.00	0.00	0.00	0.00	0.00
DYNLL2	NM_080677	819.00	1389.00	652.00	1212.00	1313.00	1213.00
LGI4	NM_139284	1.00	1.00	1.00	0.00	0.00	1.00
FBXL17	NM_001163315	244.00	371.00	179.00	339.00	366.00	396.00
CLYBL-AS1	NR_046525,NR_120383,NR_120384	0.00	0.00	0.00	0.00	0.00	1.00
ZSWIM4	NM_023072	28.00	23.00	29.00	31.00	37.00	49.00
RTP5	NM_173821	0.00	0.00	0.00	0.00	0.00	0.00
CEP57L1	NM_001083535,NM_001271852,NM_001271853,NM_173830	36.00	44.00	20.00	46.00	62.00	47.00
RTP3	NM_031440	0.00	0.00	0.00	0.00	0.00	0.00
RNF26	NM_032015	95.00	167.00	88.00	196.00	306.00	287.00
ANKRD13A	NM_033121	192.00	288.00	115.00	235.00	212.00	174.00
PLEKHA3	NM_019091	162.00	259.00	92.00	197.00	154.00	150.00
GPX5	NM_001509,NM_003996	0.00	0.00	0.00	0.00	0.00	0.00
MIR4251	NR_036215	0.00	0.00	0.00	0.00	0.00	0.00
PIP4K2A	NM_005028	550.00	973.00	457.00	868.00	696.00	596.00
SLC25A51	NM_033412,NR_024872,NR_024873	146.99	218.98	88.97	131.99	155.86	129.99
ENG	NM_000118,NM_001114753,NM_001278138	6.00	7.00	5.00	3.00	6.00	5.00
DUSP15	NM_001012644,NM_080611,NM_177991	5.00	1.00	0.00	6.00	5.00	4.00
LINC00524	NR_126006	0.00	0.00	0.00	0.00	0.00	0.00
LOC101929468	NR_125926	0.00	0.00	0.00	0.00	0.00	0.00
FAM218A	NM_153027	21.00	36.00	17.00	3.00	11.00	8.00
POC1A	NM_001161580,NM_001161581,NM_015426	33.00	57.00	18.00	92.00	162.00	127.00
PJA1	NM_001032396,NM_022368,NM_145119	91.00	123.00	29.00	93.00	98.00	95.00
VAMP2	NM_014232	66.00	80.00	49.00	60.00	65.00	51.00
CHRNG	NM_005199	3.00	8.00	4.00	3.00	3.00	8.00
MIPOL1	NM_001195296,NM_001195297,NM_138731	82.00	128.00	67.00	111.00	80.00	55.00
PBXIP1	NM_020524	504.00	890.00	374.00	595.00	389.00	339.00
MIR191	NR_029690	0.00	0.00	0.00	0.00	0.00	0.00
LNPEP	NM_005575,NM_175920	569.00	858.00	387.00	623.00	694.00	554.00
RPARP-AS1	NR_038937,NR_038938	74.00	118.37	55.74	61.26	98.77	73.45
PAUPAR	NR_117094	0.00	0.00	0.00	0.00	0.00	0.00
OGFR	NM_007346	951.00	1551.00	667.00	830.00	874.00	759.00
MIR4282	NR_036244	0.00	0.00	0.00	0.00	0.00	0.00
BEND3	NM_001080450	69.00	103.00	48.00	113.00	161.00	138.00
LOC286059	NR_038873	2.00	3.00	2.00	1.00	0.00	2.00
MDFI	NM_001300804,NM_001300805,NM_001300806,NM_005586	1.00	0.00	0.00	0.00	0.00	0.00
LOC221946	NR_126168	8.00	12.00	5.00	2.00	8.00	6.00
IPO7	NM_006391	1398.00	1926.00	937.00	1602.00	1785.00	1747.00
FYTTD1	NM_001011537,NM_032288,NR_027840	1219.00	1736.00	766.00	1076.00	1093.00	963.00
ZNF610	NM_001161425,NM_001161426,NM_001161427,NM_173530	13.00	15.00	4.00	16.00	31.00	28.00
NTAN1	NM_001270766,NM_001270767,NM_173474	62.99	119.64	52.49	149.12	211.89	182.47
SNORD35A	NR_000018	0.00	0.00	0.00	0.00	0.00	0.00
LOC100507534	NR_110649	0.00	0.00	0.00	0.00	0.00	0.00
BAI1	NM_001702	8.00	21.00	13.00	8.00	10.00	11.00
MARCKS	NM_002356	292.00	461.00	212.00	748.00	742.00	610.00
TOR1A	NM_000113	419.00	646.00	270.00	347.00	497.00	368.00
MIR4706	NR_039855	0.00	0.00	0.00	0.00	0.00	0.00
BICD1	NM_001003398,NM_001714	28.00	34.00	22.00	35.00	42.00	49.00
ZNF582	NM_144690	0.00	0.00	0.00	0.00	0.00	0.00
CCSER2	NM_001284240,NM_001284241,NM_001284242,NM_001284243,NM_018999	522.00	777.00	381.00	521.00	488.00	388.00
CCL3L1	NM_021006,NM_021006_chr17:34623841_34625731,NR_111964	0.00	0.00	0.00	0.00	0.00	0.00
ATP6V0E2-AS1	NR_027040	8.07	14.20	5.07	5.04	11.11	8.06
DDIT4L	NM_145244	0.00	1.00	0.00	0.00	1.00	1.00
CATIP-AS1	NR_110573	3.00	1.00	1.00	0.00	0.00	0.00
LOC100288123	NR_034114	4.00	5.00	2.00	0.00	5.00	4.00
CHEK2P2	NR_038836	0.00	0.00	0.00	0.00	0.00	0.00
C6orf52	NM_001145020,NR_026736,NR_026737	6.00	5.00	5.00	5.00	8.00	14.00
COG8	NM_032382	322.78	562.55	211.86	310.13	386.30	410.37
SMARCB1	NM_001007468,NM_003073	324.00	507.00	226.00	412.00	563.00	558.00
TCAM1P	NR_002947	0.00	1.00	0.00	0.00	0.00	1.00
EXD2	NM_001193360,NM_001193361,NM_001193362,NM_001193363,NM_018199,NR_034164,NR_034165	528.00	801.00	364.00	367.00	467.00	433.00
OXCT1	NM_000436	57.00	97.00	46.00	143.00	239.00	214.00
SDCBP2-AS1	NR_040047,NR_040048,NR_040049	21.00	19.00	11.00	12.00	11.00	17.00
MIR2276	NR_031753	0.00	0.00	0.00	0.00	0.00	0.00
HP09053	NR_110821	0.00	6.21	1.06	3.12	2.05	1.43
MIR124-2	NR_029669	0.00	0.00	0.00	0.00	0.00	0.00
SORCS2	NM_020777	35.00	48.00	27.00	66.00	45.00	42.00
STK26	NM_001042452,NM_001042453,NM_016542	756.00	969.00	456.00	584.00	638.00	584.00
HOXC-AS1	NR_047504	3.00	3.00	4.00	4.00	0.00	2.00
LGALSL	NM_014181	108.00	150.00	68.00	105.00	97.00	96.00
GOLT1A	NM_198447	53.00	74.00	33.00	28.00	62.00	57.00
SP2-AS1	NR_103856,NR_103857	43.00	65.00	34.00	45.00	72.00	57.00
LINC00504	NR_126435	637.48	936.42	668.77	600.18	839.36	713.48
CYSLTR2	NM_020377	0.00	0.00	0.00	0.00	0.00	0.00
OR6B3	NM_173351	0.00	0.00	0.00	1.00	0.00	0.00
KRT222	NM_152349	4.00	3.00	0.00	0.00	0.00	0.00
GPR62	NM_080865	0.00	0.00	0.00	0.00	0.00	0.00
LOC101927683	NR_110683	0.00	0.00	0.00	0.00	0.00	0.00
JADE1	NM_001287437,NM_001287439,NM_001287440,NM_001287441,NM_001287442,NM_001287443,NM_024900,NM_199320	164.00	251.00	103.00	228.00	218.00	223.00
LINC01108	NR_108096,NR_108097	0.00	0.00	0.00	0.00	0.00	0.00
LINC00888	NR_038301,NR_038302	29.00	51.00	24.00	44.00	46.00	33.00
GAS2L1P2	NR_002942	0.00	0.00	1.00	0.00	0.00	0.00
PCDHB13	NM_018933	87.81	105.87	47.04	44.63	68.67	66.70
MIR1537	NR_031718	0.00	0.00	0.00	0.00	0.00	0.00
MIR548AE1	NR_039638	0.00	0.00	0.00	0.00	0.00	0.00
LINC00523	NR_024096	0.00	0.00	0.00	0.00	0.00	0.00
EDAR	NM_022336	0.00	0.00	1.00	1.00	2.00	0.00
LINC00940	NR_036546	0.00	0.00	0.00	0.00	0.00	1.00
TRIML2	NM_001303419,NM_173553	1.00	0.00	0.00	0.00	0.00	0.00
KRT42P	NR_033415	0.00	0.00	0.00	0.00	0.00	1.00
TSPY8	NM_001243721	0.00	0.00	0.00	0.00	0.00	0.00
RCE1	NM_001032279,NM_005133	199.00	329.00	163.00	136.00	161.00	144.00
PCDHB16	NM_020957	117.72	176.47	84.38	149.80	175.99	160.69
PF4V1	NM_002620	0.00	0.00	0.00	0.00	0.00	0.00
OSMR	NM_001168355,NM_003999	127.00	188.00	74.00	182.00	263.00	251.00
SPIC	NM_152323	0.00	0.00	0.00	0.00	0.00	0.00
OTX2	NM_001270523,NM_001270524,NM_001270525,NM_021728,NM_172337,NR_073034,NR_073036	0.00	0.00	0.00	0.00	0.00	0.00
NEXN-AS1	NR_103535	2.00	0.00	4.00	1.00	2.00	1.00
SLMO2-ATP5E	NR_037929,NR_037930	643.25	989.14	296.68	610.12	803.38	661.87
MIR653	NR_030388	0.00	0.00	0.00	0.00	0.00	0.00
ARFIP1	NM_001025593,NM_001025595,NM_001287431,NM_001287432,NM_001287433,NM_014447	389.00	585.00	274.00	410.00	359.00	301.00
MIR3613	NR_037407	0.00	0.00	0.00	0.00	0.00	0.00
SLC25A14	NM_001282195,NM_001282196,NM_001282197,NM_001282198,NR_104107	66.00	90.00	39.00	60.00	85.00	54.00
LOC101927488	NR_105039,NR_105040	0.00	0.00	0.00	0.00	0.00	0.00
CLDN2	NM_001171092,NM_001171095,NM_020384	0.00	0.00	0.00	0.00	1.00	1.00
MIR4265	NR_036223	0.00	0.00	0.00	0.00	0.00	0.00
SERPINE1	NM_000602	14.00	20.00	11.00	10.00	13.00	12.00
SLC7A14	NM_020949	0.00	0.00	0.00	0.00	1.00	0.00
SNORD24	NR_002447	0.00	0.00	0.00	0.00	0.00	0.00
SNHG17	NR_015366,NR_027241	34.00	60.00	24.00	32.00	37.00	30.00
MSGN1	NM_001105569	0.00	0.00	0.00	0.00	0.00	0.00
LOC101927640	NR_121193	0.00	0.00	0.00	0.00	0.00	0.00
REV1	NM_001037872,NM_016316	370.00	525.00	258.00	285.00	243.00	233.00
TTLL4	NM_014640	66.00	111.00	54.00	69.00	177.00	144.00
EBAG9	NM_001278938,NM_004215,NM_198120	334.00	492.00	213.00	310.00	244.00	194.00
CCDC77	NM_001130146,NM_001130147,NM_001130148,NM_032358	31.00	47.00	27.00	40.00	49.16	35.00
ABCA2	NM_001606,NM_212533	1036.00	1601.00	751.00	1169.00	1170.00	1066.00
P2RY13	NM_176894	4.00	2.00	2.00	0.00	1.00	0.00
