PeakID (cmd=annotatePeaks.pl reproducible_peaks_blacklist_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr6-31	chr6	131628187	131628463	+	1	NA	promoter-TSS (ENST00000354577.8)	protein_coding-promoter-TSS (ENST00000354577.8)	-83	ENST00000368068.8	ENSG00000112282	ENST00000479213			MED23			protein_coding
chr17-1582	chr17	59756228	59756434	+	1	NA	intron (ENST00000589823.7, intron 5 of 11)	protein_coding-intron (ENST00000262291.9, intron 5 of 11)	20993	ENST00000592619.5	ENSG00000062716	ENST00000587945			VMP1			protein_coding
chr16-114	chr16	4945869	4946156	+	1	NA	intron (ENST00000592772.1, intron 1 of 9)	protein_coding-intron (ENST00000592772.1, intron 1 of 9)	-8864	ENST00000345988.7	ENSG00000118898	ENST00000590782			PPL			protein_coding
chr2-170	chr2	10057816	10057860	+	1	NA	TTS (ENST00000477304.1)	protein_coding-TTS (ENST00000477304.1)	-2972	ENST00000607181.1	ENSG00000271787	ENST00000607181			ENSG00000271787			lncRNA
chr1-3	chr1	35268617	35268891	+	1	NA	promoter-TSS (ENST00000314607.11)	protein_coding-promoter-TSS (ENST00000314607.11)	45	ENST00000314607.11	ENSG00000146463	ENST00000457946			ZMYM4			protein_coding
chr17-1880	chr17	80817822	80818021	+	1	NA	intron (ENST00000697423.1, intron 7 of 33)	protein_coding-intron (ENST00000306801.8, intron 7 of 33)	8979	ENST00000655216.1	ENSG00000287403	ENST00000655216			ENSG00000287403			lncRNA
chr12-19	chr12	120136485	120136729	+	1	NA	exon (ENST00000300648.7, exon 51 of 58)	protein_coding-exon (ENST00000300648.7, exon 51 of 58)	783	ENST00000549815.1	ENSG00000089154	ENST00000300648			GCN1			protein_coding
chr3-283	chr3	49006985	49007266	+	1	NA	promoter-TSS (ENST00000395474.7)	protein_coding-promoter-TSS (ENST00000395474.7)	63	ENST00000395474.7	ENSG00000178252	ENST00000419837			WDR6			protein_coding
chr13-107	chr13	21061181	21061273	+	1	NA	intron (ENST00000382592.5, intron 1 of 7)	protein_coding-intron (ENST00000382592.5, intron 1 of 7)	359	ENST00000382592.5	ENSG00000150457	ENST00000382592			LATS2			protein_coding
chr16-57	chr16	2868163	2868425	+	1	NA	promoter-TSS (ENST00000575693.2)	lncRNA-promoter-TSS (ENST00000575693.2)	-43	ENST00000662388.1	ENSG00000263280	ENST00000691941			ENSG00000263280			lncRNA
chr17-45	chr17	61394157	61394335	+	1	NA	promoter-TSS (ENST00000592377.1)	lncRNA-promoter-TSS (ENST00000592377.1)	-184	ENST00000592377.1	ENSG00000267280	ENST00000592009			TBX2-AS1			lncRNA
chr6-102	chr6	122610147	122610262	+	1	NA	promoter-TSS (ENST00000368448.5)	protein_coding-promoter-TSS (ENST00000368448.5)	-28	ENST00000392490.5	ENSG00000135549	ENST00000368448			PKIB			protein_coding
chr20-884	chr20	60078580	60078738	+	1	NA	Intergenic	Intergenic	5213	ENST00000617063.1	ENSG00000276093	ENST00000617063			ENSG00000276093			lncRNA
chr8-88	chr8	141002186	141002451	+	1	NA	promoter-TSS (ENST00000517453.5)	protein_coding-promoter-TSS (ENST00000517453.5)	-102	ENST00000519635.1	ENSG00000169398	ENST00000522424			PTK2			protein_coding
chr5-47	chr5	138337738	138337930	+	1	NA	promoter-TSS (ENST00000239906.10)	protein_coding-promoter-TSS (ENST00000239906.10)	-181	ENST00000505768.1	ENSG00000120709	ENST00000505136			FAM53C			protein_coding
chr3-714	chr3	63863246	63863286	+	1	NA	promoter-TSS (ENST00000674280.1)	protein_coding-promoter-TSS (ENST00000674280.1)	107	ENST00000647117.1	ENSG00000163635	ENST00000643464			ATXN7			protein_coding
chr20-1617-2	chr20	25623815	25624039	+	1	NA	promoter-TSS (ENST00000304788.4)	protein_coding-promoter-TSS (ENST00000304788.4)	87	ENST00000304788.4	ENSG00000170191	ENST00000304788			NANP			protein_coding
chr5-63	chr5	140011325	140011610	+	1	NA	intron (ENST00000541337.5, intron 1 of 7)	protein_coding-intron (ENST00000289409.8, intron 1 of 9)	-8025	ENST00000384587.1	ENSG00000207317	ENST00000384587			Y_RNA			misc_RNA
chr20-2221	chr20	48763764	48763817	+	1	NA	intron (ENST00000371941.4, intron 1 of 39)	protein_coding-intron (ENST00000371941.4, intron 1 of 39)	64209	ENST00000371941.4	ENSG00000124126	ENST00000496915			PREX1			protein_coding
chr9-140	chr9	129885933	129886096	+	1	NA	promoter-TSS (ENST00000688549.2)	lncRNA-promoter-TSS (ENST00000688549.2)	-140	ENST00000688549.2	ENSG00000288956	ENST00000688549			ENSG00000288956			lncRNA
chr20-647	chr20	47818942	47819103	+	1	NA	Intergenic	Intergenic	8022	ENST00000458903.1	ENSG00000238950	ENST00000458903			RNU7-173P			snRNA
chr5-354	chr5	176388827	176389006	+	1	NA	promoter-TSS (ENST00000502577.1)	protein_coding-promoter-TSS (ENST00000502577.1)	11	ENST00000618911.4	ENSG00000048162	ENST00000504821			NOP16			protein_coding
chr20-98	chr20	54067663	54067938	+	1	NA	TTS (ENST00000577874.1)	miRNA-TTS (ENST00000577874.1)	685	ENST00000577874.1	ENSG00000265595	ENST00000577874			MIR4756			miRNA
chr1-802	chr1	153521101	153521362	+	1	NA	Intergenic	Intergenic	-12199	ENST00000420695.3	ENSG00000238279	ENST00000420695			ENSG00000238279			lncRNA
chr7-177	chr7	33722430	33722701	+	1	NA	intron (ENST00000672453.1, intron 20 of 22)	protein_coding-intron (ENST00000672453.1, intron 20 of 22)	-3416	ENST00000311067.3	ENSG00000173862	ENST00000311067			ENSG00000173862			lncRNA
chr16-354	chr16	21511701	21511864	+	1	NA	intron (ENST00000654954.1, intron 1 of 1)	lncRNA-intron (ENST00000435197.3, intron 1 of 13)	147	ENST00000654954.1	ENSG00000287809	ENST00000654954			ENSG00000287809			lncRNA
chr9-160	chr9	37800627	37800848	+	1	NA	promoter-TSS (ENST00000377724.8)	protein_coding-promoter-TSS (ENST00000377724.8)	-28	ENST00000489414.5	ENSG00000107371	ENST00000465860			EXOSC3			protein_coding
chr14-18	chr14	20343093	20343113	+	1	NA	promoter-TSS (ENST00000250416.9)	protein_coding-promoter-TSS (ENST00000250416.9)	304	ENST00000516869.1	ENSG00000277209	ENST00000516869			RPPH1			ribozyme
chr9-67	chr9	94030869	94031146	+	1	NA	promoter-TSS (ENST00000650567.1)	protein_coding-promoter-TSS (ENST00000650567.1)	-20	ENST00000650567.1	ENSG00000158079	ENST00000375360			PTPDC1			protein_coding
chr3-274	chr3	14885284	14885534	+	1	NA	intron (ENST00000468662.5, intron 1 of 16)	protein_coding-intron (ENST00000285046.10, intron 4 of 19)	3104	ENST00000468662.5	ENSG00000154783	ENST00000457774			FGD5			protein_coding
chrX-11	chrX	134919097	134919365	+	1	NA	promoter-TSS (ENST00000384353.1)	snRNA-promoter-TSS (ENST00000384353.1)	-815	ENST00000384353.1	ENSG00000207081	ENST00000384353			RNU6-616P			snRNA
chr9-43	chr9	132354998	132355057	+	1	NA	promoter-TSS (ENST00000224140.6)	protein_coding-promoter-TSS (ENST00000224140.6)	-41	ENST00000224140.6	ENSG00000107290	ENST00000224140			SETX			protein_coding
chr12-270	chr12	103965994	103966061	+	1	NA	promoter-TSS (ENST00000543740.6)	protein_coding-promoter-TSS (ENST00000543740.6)	124	ENST00000544060.1	ENSG00000139372	ENST00000266775			TDG			protein_coding
chr7-341	chr7	158856319	158856595	+	1	NA	promoter-TSS (ENST00000407559.8)	protein_coding-promoter-TSS (ENST00000407559.8)	-101	ENST00000407559.8	ENSG00000126870	ENST00000444851			DYNC2I1			protein_coding
chr3-390	chr3	8622982	8623237	+	1	NA	intron (ENST00000544814.7, intron 11 of 11)	protein_coding-intron (ENST00000317371.8, intron 18 of 18)	10606	ENST00000492435.1	ENSG00000125046	ENST00000492435			SSUH2			protein_coding
chr20-797	chr20	50672534	50672737	+	1	NA	intron (ENST00000327979.8, intron 1 of 21)	protein_coding-intron (ENST00000327979.8, intron 1 of 21)	18907	ENST00000327979.8	ENSG00000042062	ENST00000488529			RIPOR3			protein_coding
chr1-385	chr1	243255042	243255313	+	1	NA	promoter-TSS (ENST00000366541.8)	protein_coding-promoter-TSS (ENST00000366541.8)	39	ENST00000523581.1	ENSG00000143702	ENST00000366542			CEP170			protein_coding
chrX-8	chrX	53225143	53225395	+	1	NA	promoter-TSS (ENST00000349663.6)	protein_coding-promoter-TSS (ENST00000349663.6)	-36	ENST00000685539.1	ENSG00000126012	ENST00000375383			KDM5C			protein_coding
chr20-530	chr20	47746446	47746565	+	1	NA	intron (ENST00000698128.1, intron 2 of 20)	protein_coding-intron (ENST00000359930.8, intron 2 of 20)	-9562	ENST00000478766.1	ENSG00000196562	ENST00000474450			SULF2			protein_coding
chr9-507	chr9	137129848	137129908	+	1	NA	Intergenic	Intergenic	-8468	ENST00000371560.5	ENSG00000176884	ENST00000460273			GRIN1			protein_coding
chr12-209	chr12	132426862	132427104	+	1	NA	Intergenic	Intergenic	-1775	ENST00000622182.1	ENSG00000274373	ENST00000622182			ENSG00000274373			lncRNA
chr2-64	chr2	197499820	197500110	+	1	NA	promoter-TSS (ENST00000233893.10)	protein_coding-promoter-TSS (ENST00000233893.10)	-24	ENST00000677403.1	ENSG00000144381	ENST00000426480			HSPD1			protein_coding
chr11-75	chr11	65040832	65041092	+	1	NA	promoter-TSS (ENST00000398846.6)	protein_coding-promoter-TSS (ENST00000398846.6)	-8	ENST00000398846.6	ENSG00000168061	ENST00000398846			SAC3D1			protein_coding
chr7-199	chr7	91513080	91513331	+	1	NA	intron (ENST00000667625.1, intron 3 of 3)	lncRNA-intron (ENST00000418395.1, intron 3 of 5)	43643	ENST00000456952.1	ENSG00000235450	ENST00000456952			ENSG00000235450			lncRNA
chr3-256	chr3	196568497	196568743	+	1	NA	promoter-TSS (ENST00000311630.7)	protein_coding-promoter-TSS (ENST00000311630.7)	9	ENST00000440469.1	ENSG00000174013	ENST00000311630			FBXO45			protein_coding
chr14-182	chr14	96204490	96204766	+	1	NA	promoter-TSS (ENST00000539359.1)	protein_coding-promoter-TSS (ENST00000539359.1)	-51	ENST00000542454.2	ENSG00000168398	ENST00000554311			BDKRB2			protein_coding
chr7-172	chr7	7968833	7969092	+	1	NA	promoter-TSS (ENST00000414914.5)	protein_coding-promoter-TSS (ENST00000414914.5)	166	ENST00000223145.10	ENSG00000106415	ENST00000491947			GLCCI1			protein_coding
chr9-261	chr9	97922243	97922401	+	1	NA	promoter-TSS (ENST00000660312.1)	lncRNA-promoter-TSS (ENST00000660312.1)	-141	ENST00000660312.1	ENSG00000287070	ENST00000660312			ENSG00000287070			lncRNA
chr16-25	chr16	75029866	75030113	+	1	NA	intron (ENST00000568511.1, intron 1 of 3)	protein_coding-intron (ENST00000320619.10, intron 1 of 5)	27692	ENST00000568511.1	ENSG00000186187	ENST00000579084			ZNRF1			protein_coding
chr8-230	chr8	142677306	142677311	+	1	NA	intron (ENST00000591180.5, intron 1 of 3)	protein_coding-intron (ENST00000505305.1, intron 1 of 1)	-3149	ENST00000513264.1	ENSG00000167653	ENST00000513264			PSCA			protein_coding
chr3-854	chr3	133383255	133383489	+	1	NA	intron (ENST00000511388.1, intron 1 of 2)	protein_coding-intron (ENST00000321871.11, intron 4 of 5)	3655	ENST00000511388.1	ENSG00000144868	ENST00000510183			TMEM108			protein_coding
chr22-19	chr22	26483726	26483988	+	1	NA	promoter-TSS (ENST00000215917.11)	protein_coding-promoter-TSS (ENST00000215917.11)	-1	ENST00000699253.1	ENSG00000100099	ENST00000485842			HPS4			protein_coding
chr14-341	chr14	55271962	55272181	+	1	NA	promoter-TSS (ENST00000440021.1)	protein_coding-promoter-TSS (ENST00000440021.1)	4	ENST00000556183.1	ENSG00000258413	ENST00000556183			FBXO34-AS1			lncRNA
chr2-3	chr2	203238749	203239016	+	1	NA	promoter-TSS (ENST00000356079.9)	protein_coding-promoter-TSS (ENST00000356079.9)	-95	ENST00000449301.5	ENSG00000119004	ENST00000443941			CYP20A1			protein_coding
chr8-115	chr8	143635804	143635861	+	1	NA	promoter-TSS (ENST00000458270.2)	protein_coding-promoter-TSS (ENST00000458270.2)	-187	ENST00000526926.6	ENSG00000183309	ENST00000501748			ZNF623			protein_coding
chr19-88	chr19	38831165	38831453	+	1	NA	promoter-TSS (ENST00000597089.5)	protein_coding-promoter-TSS (ENST00000597089.5)	79	ENST00000597089.5	ENSG00000104823	ENST00000596118			ECH1			protein_coding
chr6-107	chr6	145964186	145964391	+	1	NA	promoter-TSS (ENST00000275233.12)	protein_coding-promoter-TSS (ENST00000275233.12)	70	ENST00000275233.12	ENSG00000146414	ENST00000520752			SHPRH			protein_coding
chr11-137	chr11	65498909	65499195	+	1	NA	promoter-TSS (ENST00000508832.3)	lncRNA-promoter-TSS (ENST00000508832.3)	1	ENST00000710862.1	ENSG00000251562	ENST00000710858			MALAT1			lncRNA
chr1-170	chr1	77219305	77219564	+	1	NA	promoter-TSS (ENST00000359130.1)	protein_coding-promoter-TSS (ENST00000359130.1)	-4	ENST00000445065.5	ENSG00000142892	ENST00000370812			PIGK			protein_coding
chr7-207	chr7	100673537	100673790	+	1	NA	promoter-TSS (ENST00000303210.9)	protein_coding-promoter-TSS (ENST00000303210.9)	-77	ENST00000303210.9	ENSG00000172354	ENST00000393924			GNB2			protein_coding
chr12-125	chr12	58877308	58877528	+	1	NA	promoter-TSS (ENST00000552646.1)	protein_coding-promoter-TSS (ENST00000552646.1)	76	ENST00000552646.1	ENSG00000139263	ENST00000433272			LRIG3			protein_coding
chr20-196	chr20	20441314	20441600	+	1	NA	intron (ENST00000430436.5, intron 31 of 32)	protein_coding-intron (ENST00000202677.12, intron 37 of 39)	71143	ENST00000427175.2	ENSG00000188559	ENST00000430436			RALGAPA2			protein_coding
chr9-239	chr9	83432227	83432484	+	1	NA	intron (ENST00000376438.5, intron 1 of 14)	protein_coding-intron (ENST00000304195.8, intron 1 of 13)	35387	ENST00000621208.4	ENSG00000172159	ENST00000376438			FRMD3			protein_coding
chr17-636	chr17	7351821	7352054	+	1	NA	promoter-TSS (ENST00000333751.8)	protein_coding-promoter-TSS (ENST00000333751.8)	48	ENST00000576980.2	ENSG00000213859	ENST00000333751			KCTD11			protein_coding
chr12-160	chr12	51391504	51391772	+	1	NA	promoter-TSS (ENST00000356317.8)	protein_coding-promoter-TSS (ENST00000356317.8)	-9	ENST00000605138.5	ENSG00000139629	ENST00000605138			GALNT6			protein_coding
chr10-43	chr10	103241615	103241852	+	1	NA	intron (ENST00000675164.1, intron 1 of 19)	protein_coding-intron (ENST00000674696.1, intron 1 of 17)	-4154	ENST00000441178.2	ENSG00000235376	ENST00000441178			RPEL1			protein_coding
chr9-302	chr9	131733594	131733809	+	1	NA	intron (ENST00000683357.1, intron 1 of 26)	protein_coding-intron (ENST00000372189.7, intron 1 of 23)	3837	ENST00000372189.7	ENSG00000107263	ENST00000683357			RAPGEF1			protein_coding
chr3-359	chr3	151085449	151085691	+	1	NA	promoter-TSS (ENST00000309237.8)	protein_coding-promoter-TSS (ENST00000309237.8)	-94	ENST00000687756.1	ENSG00000144893	ENST00000688234			MED12L			protein_coding
chr2-101	chr2	111698893	111699184	+	1	NA	promoter-TSS (ENST00000644013.1)	lncRNA-promoter-TSS (ENST00000644013.1)	-5	ENST00000644013.1	ENSG00000285016	ENST00000644013			ENSG00000285016			lncRNA
chr3-44	chr3	142578754	142579025	+	1	NA	promoter-TSS (ENST00000350721.9)	protein_coding-promoter-TSS (ENST00000350721.9)	-156	ENST00000653868.1	ENSG00000175054	ENST00000665483			ATR			protein_coding
chr17-19	chr17	63842607	63842887	+	1	NA	promoter-TSS (ENST00000225742.13)	protein_coding-promoter-TSS (ENST00000225742.13)	-49	ENST00000584400.5	ENSG00000108604	ENST00000698013			SMARCD2			protein_coding
chr19-77	chr19	48468742	48469011	+	1	NA	promoter-TSS (ENST00000325139.9)	protein_coding-promoter-TSS (ENST00000325139.9)	-332	ENST00000427476.4	ENSG00000105443	ENST00000391881			CYTH2			protein_coding
chr6-299	chr6	33732054	33732329	+	1	NA	intron (ENST00000634274.1, intron 3 of 3)	protein_coding-intron (ENST00000293756.5, intron 2 of 5)	14657	ENST00000634274.1	ENSG00000161896	ENST00000634274			IP6K3			protein_coding
chr6-272	chr6	26204826	26205029	+	1	NA	TTS (ENST00000615164.3)	protein_coding-TTS (ENST00000615164.3)	317	ENST00000615164.3	ENSG00000276966	ENST00000615164			H4C5			protein_coding
chr4-149	chr4	73259069	73259346	+	1	NA	promoter-TSS (ENST00000330838.10)	protein_coding-promoter-TSS (ENST00000330838.10)	-2	ENST00000502790.1	ENSG00000250220	ENST00000502790			ANKRD17-DT			lncRNA
chr14-320	chr14	37650759	37650974	+	1	NA	intron (ENST00000553443.6, intron 3 of 32)	protein_coding-intron (ENST00000533625.5, intron 2 of 18)	39615	ENST00000533625.5	ENSG00000139865	ENST00000555921			TTC6			protein_coding
chr12-45	chr12	92144674	92144902	+	1	NA	promoter-TSS (ENST00000501008.2)	lncRNA-promoter-TSS (ENST00000501008.2)	-93	ENST00000673901.1	ENSG00000133639	ENST00000673901			BTG1			protein_coding
chr20-1470	chr20	51399590	51399830	+	1	NA	promoter-TSS (ENST00000496054.1)	protein_coding-promoter-TSS (ENST00000496054.1)	-491	ENST00000496054.1	ENSG00000101096	ENST00000610033			NFATC2			protein_coding
chr11-20	chr11	61161353	61161597	+	1	NA	promoter-TSS (ENST00000301765.10)	protein_coding-promoter-TSS (ENST00000301765.10)	-22	ENST00000536000.1	ENSG00000167987	ENST00000535818			VPS37C			protein_coding
chr9-8	chr9	129488653	129488870	+	1	NA	promoter-TSS (ENST00000419300.3)	lncRNA-promoter-TSS (ENST00000419300.3)	-23	ENST00000656234.1	ENSG00000204054	ENST00000419300			LINC00963			lncRNA
chr16-236	chr16	3509554	3509837	+	1	NA	promoter-TSS (ENST00000572600.5)	protein_coding-promoter-TSS (ENST00000572600.5)	-199	ENST00000572600.5	ENSG00000103351	ENST00000574551			CLUAP1			protein_coding
chr17-1081	chr17	19867948	19868146	+	1	NA	promoter-TSS (ENST00000361658.6)	protein_coding-promoter-TSS (ENST00000361658.6)	-111	ENST00000395544.9	ENSG00000083290	ENST00000580130			ULK2			protein_coding
chr20-1621	chr20	31845172	31845354	+	1	NA	exon (ENST00000375978.5, exon 1 of 1)	protein_coding-exon (ENST00000375978.5, exon 1 of 1)	341	ENST00000375978.5	ENSG00000179772	ENST00000375978			FOXS1			protein_coding
chr1-5	chr1	234373461	234373684	+	1	NA	promoter-TSS (ENST00000366612.1)	protein_coding-promoter-TSS (ENST00000366612.1)	92	ENST00000451795.3	ENSG00000231663	ENST00000451795			COA6-AS1			lncRNA
chr8-169	chr8	143943183	143943443	+	1	NA	promoter-TSS (ENST00000357649.6)	protein_coding-promoter-TSS (ENST00000357649.6)	645	ENST00000354589.7	ENSG00000178209	ENST00000354958			PLEC			protein_coding
chr4-156	chr4	82525654	82525915	+	1	NA	intron (ENST00000454948.3, intron 1 of 5)	protein_coding-intron (ENST00000449862.7, intron 1 of 7)	-29506	ENST00000488045.1	ENSG00000293008	ENST00000488045			ENSG00000293008			lncRNA
chr14-318	chr14	37546952	37547232	+	1	NA	TTS (ENST00000694967.1)	protein_coding-TTS (ENST00000694967.1)	12392	ENST00000553425.5	ENSG00000259087	ENST00000556024			ENSG00000259087			lncRNA
chr1-125	chr1	1375114	1375410	+	1	NA	promoter-TSS (ENST00000321751.9)	protein_coding-promoter-TSS (ENST00000321751.9)	-55	ENST00000338338.10	ENSG00000175756	ENST00000489799			AURKAIP1			protein_coding
chr22-65	chr22	17847437	17847734	+	1	NA	intron (ENST00000672019.1, intron 19 of 32)	protein_coding-intron (ENST00000383094.7, intron 18 of 18)	-5103	ENST00000578905.1	ENSG00000243156	ENST00000461307			MICAL3			protein_coding
chr9-487	chr9	134366937	134367161	+	1	NA	intron (ENST00000481739.2, intron 1 of 9)	protein_coding-intron (ENST00000481739.2, intron 1 of 9)	-4922	ENST00000356384.4	ENSG00000186350	ENST00000356384			RXRA			protein_coding
chr1-152	chr1	181088478	181088657	+	1	NA	promoter-TSS (ENST00000367577.7)	protein_coding-promoter-TSS (ENST00000367577.7)	-28	ENST00000690498.2	ENSG00000289589	ENST00000690498			ENSG00000289589			lncRNA
chr17-192	chr17	60769020	60769077	+	1	NA	intron (ENST00000592848.5, intron 7 of 10)	protein_coding-intron (ENST00000390652.9, intron 6 of 24)	-20002	ENST00000516725.1	ENSG00000252534	ENST00000516725			Y_RNA			misc_RNA
chr16-70	chr16	74730415	74730699	+	1	NA	intron (ENST00000569949.1, intron 2 of 4)	protein_coding-intron (ENST00000219368.8, intron 2 of 6)	-4310	ENST00000618933.1	ENSG00000103089	ENST00000569949			FA2H			protein_coding
chr11-123	chr11	34433968	34434177	+	1	NA	Intergenic	Intergenic	3192	ENST00000405137.1	ENSG00000216708	ENST00000405137			CIR1P3			processed_pseudogene
chr9-11	chr9	33234159	33234384	+	1	NA	intron (ENST00000379725.5, intron 2 of 4)	protein_coding-intron (ENST00000379725.5, intron 2 of 4)	-5896	ENST00000379721.4	ENSG00000122711	ENST00000379721			SPINK4			protein_coding
chr13-83	chr13	42049410	42049498	+	1	NA	intron (ENST00000379274.6, intron 2 of 29)	protein_coding-intron (ENST00000261491.9, intron 1 of 28)	632	ENST00000611224.1	ENSG00000102780	ENST00000536612			DGKH			protein_coding
chr15-221	chr15	63042560	63042647	+	1	NA	promoter-TSS (ENST00000267996.11)	protein_coding-promoter-TSS (ENST00000267996.11)	-17	ENST00000559831.6	ENSG00000140416	ENST00000558544			TPM1			protein_coding
chr1-1	chr1	205211596	205211865	+	1	NA	promoter-TSS (ENST00000367161.7)	protein_coding-promoter-TSS (ENST00000367161.7)	-28	ENST00000367162.8	ENSG00000133059	ENST00000367162			DSTYK			protein_coding
chr20-794-2	chr20	48770010	48770059	+	1	NA	intron (ENST00000371941.4, intron 1 of 39)	protein_coding-intron (ENST00000371941.4, intron 1 of 39)	57965	ENST00000371941.4	ENSG00000124126	ENST00000496915			PREX1			protein_coding
chr6-11	chr6	152302059	152302339	+	1	NA	promoter-TSS (ENST00000489156.1)	protein_coding-promoter-TSS (ENST00000489156.1)	-63	ENST00000537033.1	ENSG00000131018	ENST00000673173			SYNE1			protein_coding
chr2-242	chr2	240586372	240586586	+	1	NA	promoter-TSS (ENST00000270361.15)	protein_coding-promoter-TSS (ENST00000270361.15)	220	ENST00000567819.1	ENSG00000260942	ENST00000567819			CAPN10-DT			lncRNA
chr10-118	chr10	4826480	4826760	+	1	NA	intron (ENST00000525627.1, intron 1 of 2)	protein_coding-intron (ENST00000298375.12, intron 1 of 9)	324	ENST00000345253.9	ENSG00000165568	ENST00000441590			AKR1E2			protein_coding
chr1-684	chr1	88684079	88684282	+	1	NA	promoter-TSS (ENST00000316005.11)	protein_coding-promoter-TSS (ENST00000316005.11)	-42	ENST00000316005.11	ENSG00000065243	ENST00000316005			PKN2			protein_coding
chr6-8	chr6	17389355	17389634	+	1	NA	Intergenic	Intergenic	-4101	ENST00000229922.7	ENSG00000112186	ENST00000489374			CAP2			protein_coding
chr21-115	chr21	42375559	42375845	+	1	NA	intron (ENST00000652415.1, intron 12 of 12)	protein_coding-intron (ENST00000398405.5, intron 11 of 11)	7051	ENST00000478680.1	ENSG00000160183	ENST00000478680			TMPRSS3			protein_coding
chr9-51	chr9	37465680	37465943	+	1	NA	promoter-TSS (ENST00000307750.5)	protein_coding-promoter-TSS (ENST00000307750.5)	-361	ENST00000307750.5	ENSG00000168795	ENST00000307750			ZBTB5			protein_coding
chr10-120	chr10	7818392	7818561	+	1	NA	promoter-TSS (ENST00000344293.6)	protein_coding-promoter-TSS (ENST00000344293.6)	-21	ENST00000687671.1	ENSG00000165632	ENST00000344293			TAF3			protein_coding
chr1-81	chr1	229148164	229148436	+	1	NA	intron (ENST00000666388.1, intron 2 of 2)	lncRNA-intron (ENST00000662083.1, intron 1 of 4)	35795	ENST00000662083.1	ENSG00000236975	ENST00000433734			LINC02814			lncRNA
chr10-29	chr10	132916534	132916780	+	1	NA	promoter-TSS (ENST00000486104.5)	protein_coding-promoter-TSS (ENST00000486104.5)	25	ENST00000486104.5	ENSG00000171811	ENST00000475340			CFAP46			protein_coding
chr9-272	chr9	117400246	117400523	+	1	NA	intron (ENST00000361477.8, intron 1 of 22)	protein_coding-intron (ENST00000313400.9, intron 1 of 22)	14655	ENST00000361477.8	ENSG00000148219	ENST00000358637			ASTN2			protein_coding
chr11-58	chr11	70259259	70259469	+	1	NA	Intergenic	Intergenic	11162	ENST00000693295.2	ENSG00000289074	ENST00000693295			ENSG00000289074			lncRNA
chr2-185	chr2	37925246	37925474	+	1	NA	promoter-TSS (ENST00000354545.8)	protein_coding-promoter-TSS (ENST00000354545.8)	13	ENST00000440353.5	ENSG00000115841	ENST00000496735			RMDN2			protein_coding
chr19-294	chr19	16702236	16702372	+	1	NA	Intergenic	Intergenic	-10013	ENST00000599446.1	ENSG00000269419	ENST00000599446			ENSG00000269419			processed_pseudogene
chr7-128	chr7	76201752	76202035	+	1	NA	promoter-TSS (ENST00000611745.2)	protein_coding-promoter-TSS (ENST00000611745.2)	-3	ENST00000611745.2	ENSG00000177679	ENST00000612155			SRRM3			protein_coding
chr20-2168	chr20	47962581	47962725	+	1	NA	Intergenic	Intergenic	4631	ENST00000416646.1	ENSG00000228503	ENST00000416646			ENSG00000228503			lncRNA
chr20-333	chr20	297266	297544	+	1	NA	promoter-TSS (ENST00000500893.4)	protein_coding-promoter-TSS (ENST00000500893.4)	-165	ENST00000500893.4	ENSG00000247315	ENST00000500893			ZCCHC3			protein_coding
chr20-170	chr20	47487568	47487864	+	1	NA	Intergenic	Intergenic	-3335	ENST00000365316.1	ENSG00000202186	ENST00000365316			RNU6-497P			snRNA
chr19-233	chr19	55117753	55117917	+	1	NA	promoter-TSS (ENST00000263433.8)	protein_coding-promoter-TSS (ENST00000263433.8)	-20	ENST00000653659.1	ENSG00000287170	ENST00000653659			ENSG00000287170			lncRNA
chr10-292	chr10	101066362	101066403	+	1	NA	promoter-TSS (ENST00000465807.1)	protein_coding-promoter-TSS (ENST00000465807.1)	-13	ENST00000608812.1	ENSG00000107821	ENST00000477267			KAZALD1			protein_coding
chr1-247	chr1	116508872	116509142	+	1	NA	Intergenic	Intergenic	-9795	ENST00000456414.2	ENSG00000224950	ENST00000456414			ENSG00000224950			lncRNA
chr20-2218	chr20	48635887	48635952	+	1	NA	intron (ENST00000482556.5, intron 15 of 21)	protein_coding-intron (ENST00000371941.4, intron 32 of 39)	6819	ENST00000496915.1	ENSG00000124126	ENST00000496915			PREX1			protein_coding
chrX-107	chrX	70133305	70133598	+	1	NA	promoter-TSS (ENST00000342206.10)	protein_coding-promoter-TSS (ENST00000342206.10)	2	ENST00000342206.10	ENSG00000089289	ENST00000342206			IGBP1			protein_coding
chr14-416	chr14	93184855	93184969	+	1	NA	promoter-TSS (ENST00000283534.4)	protein_coding-promoter-TSS (ENST00000283534.4)	11	ENST00000556883.1	ENSG00000165943	ENST00000298894			MOAP1			protein_coding
chr10-141	chr10	44173657	44173906	+	1	NA	Intergenic	Intergenic	88032	ENST00000437014.1	ENSG00000237590	ENST00000437014			LINC03089			lncRNA
